	Slackia	Peptostreptococcus	Brachybacterium	Peptococcus	Lawsonia	Microbacterium	Brevibacterium	Turicibacter	Oscillibacter	Sphaerochaeta	Hydrogenoanaerobacterium	Coprobacillus	Anaerofustis	Vagococcus	Parvimonas	Klebsiella	Nosocomiicoccus	Kordia	Tepidimonas	Kluyvera	Luteococcus	Brachymonas	Peptoniphilus	Abiotrophia	Paenibacillus	Pasteurella	Lactobacillus	Bradyrhizobium	Victivallis	Johnsonella	Serratia	Bilophila	Pseudoxanthomonas	Acetanaerobacterium	Olsenella	Megasphaera	Elizabethkingia	Pediococcus	Enterococcus	Granulicatella	Porphyrobacter	Enterorhabdus	Phyllobacterium	Papillibacter	Campylobacter	Christensenella	Marvinbryantia	Macrococcus	Sporobacter	Aggregatibacter	Treponema	Edwardsiella	Fulvivirga	Aeromonas	Paracoccus	Mobiluncus	Raoultella	Pseudoramibacter	Grimontella	Coriobacterium	Devosia	Bacillus	Paraprevotella	Gemmiger	Robinsoniella	Solobacterium	Mycoplasma	Rummeliibacillus	Pyrobaculum	Microlunatus	Denitrobacterium	Phascolarctobacterium	Sphingobium	Leuconostoc	Prevotella	Peptoclostridium	Butyrivibrio	Paraeggerthella	Anaerococcus	Anaerobiospirillum	Blautia	Flavobacterium	Parabacteroides	Asteroleplasma	Dialister	Pseudobutyrivibrio	Lemna	Comamonas	Arthrobacter	Oribacterium	Salmonella	Cronobacter	Tannerella	Moraxella	Sutterella	Anaerovibrio	Corynebacterium	Negativicoccus	Anaerosporobacter	Sanguibacter	Cardiobacterium	Cupriavidus	Enterobacter	Brevibacillus	Streptococcus	Odoribacter	Sphingobacterium	Cellulosilyticum	Microcystis	Hafnia	Lachnobacterium	Ruminococcus	Lachnoanaerobaculum	Acetivibrio	Erysipelothrix	Butyricimonas	Vibrio	Anaerotruncus	Thermotoga	Faecalibacterium	Coprobacter	Propionibacterium	Fusibacter	Bifidobacterium	Streptomyces	Cloacibacillus	Desulfitobacterium	Elusimicrobium	Lachnospira	Succinatimonas	Listeria	Intestinimonas	Gordonia	Ornithinimicrobium	Veillonella	Finegoldia	Atopobium	Rathayibacter	Anaerofilum	Anoxybacillus	Ochrobactrum	Methylobacterium	Barnesiella	Actinobacillus	Actinomyces	Allisonella	Subdoligranulum	Parvibacter	Zymophilus	Oscillospira	Collinsella	Magnetococcus	Weissella	Xanthomonas	Helicobacter	Aeromicrobium	Pseudomonas	Spiroplasma	Hespellia	Pseudonocardia	Oxalobacter	Stenotrophomonas	Cloacibacterium	Alloprevotella	Proteus	Helcococcus	Morganella	Ethanoligenens	Sarcina	Leptotrichia	Parasutterella	Micrococcus	Kocuria	Dietzia	Gordonibacter	Murdochiella	Desulfocurvus	Syntrophococcus	Kingella	Neisseria	Rikenella	Herbaspirillum	Howardella	Bacteroides	Francisella	Mitsuokella	Anaerovorax	Mogibacterium	Roseburia	Citrobacter	Alloiococcus	Stappia	Rothia	Selenomonas	Fusobacterium	Eikenella	Capnocytophaga	Eubacterium	Porphyromonas	Sneathia	Erwinia	Gemella	Adlercreutzia	Cryptobacterium	Stomatobaculum	Dickeya	Agrobacterium	Anaerostipes	Escherichia/Shigella	Curtobacterium	Ureaplasma	Lysinibacillus	Flavonifractor	Sedimentibacter	Sphingomonas	Staphylococcus	Desulfovibrio	Varibaculum	Actinobaculum	Coprococcus	Lactonifactor	Halomonas	Arcanobacterium	Lautropia	Mesorhizobium	Anaeroglobus	Allobaculum	Fusicatenibacter	Lactococcus	Pyramidobacter	Xylanibacter	Pantoea	Pseudoflavonifractor	Butyricicoccus	Acholeplasma	Delftia	Haemophilus	Acetomicrobium	Scardovia	Brachyspira	Kosakonia	Facklamia	Eggerthella	Massilia	Gardnerella	Acidaminococcus	Lelliottia	Catabacter	Pluralibacter	Acinetobacter	Alistipes	Dorea	Holdemania	Cetobacterium	Acetobacterium	Akkermansia	Clostridium	Desulfotomaculum	Succinivibrio	Turicella	Terrahaemophilus	Megamonas	Catenibacterium	Coraliomargarita	Acetobacter	Fretibacterium	Alloscardovia
I01	243	4	0	0	0	0	0	177	2375	0	9	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	9252	0	0	0	0	41	0	0	92	9	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	83	4	0	2	0	0	0	0	0	0	0	0	65368	0	244	18	0	0	7746	0	130	0	6699	44	2	144	0	115	0	0	0	0	1752	0	0	0	0	0	0	0	1	0	504	124	0	0	0	0	0	1751	0	0	0	0	0	6	0	17357	0	2	0	2493	0	0	0	0	17	0	0	0	0	0	59	0	0	0	1	0	0	0	38	0	24	90	412	0	0	1	584	0	167	0	1	0	0	0	0	0	30	0	0	2	0	0	0	0	1	0	41	0	0	0	42	0	0	0	0	14	0	0	0	581	0	3	15	5	8648	0	0	0	16	0	4	0	0	17037	0	0	0	2	0	0	0	0	1	972	202	0	0	0	229	0	0	1	4	0	0	1250	0	0	0	2	0	0	0	664	12	2	0	0	4	225	0	0	55	0	0	0	0	0	20	0	0	2	0	4	0	0	296	1790	3	0	0	0	5218	0	0	0	1	4	694	0	0	0	0
I56	0	0	0	0	0	0	0	9	3550	0	41	4	0	0	0	0	0	1	0	0	0	0	10	0	0	0	178	0	0	0	0	0	0	1	0	15	0	0	117	1	0	1	0	0	4	0	0	0	28	0	1	0	1	0	0	0	0	0	0	0	0	845	0	1	0	1	0	0	0	0	0	1531	0	0	128	0	5	0	0	0	22439	0	2	0	6	13	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0	0	1	0	588	990	0	0	0	0	0	7762	0	0	0	0	0	112	0	20635	800	2	6	218	0	0	0	0	152	0	0	27	0	0	15	0	0	0	4	0	0	0	0	0	77	2	487	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	20	0	0	0	0	0	0	0	0	38416	0	0	36	19	193	0	0	0	0	0	0	0	0	15221	0	0	0	0	63	0	0	0	0	4232	0	0	0	0	462	0	0	7	8	0	0	2784	44	0	0	0	0	0	0	3137	2	0	0	0	40	306	0	0	3	0	0	0	0	0	156	0	0	0	0	14	0	0	15805	520	44	0	0	0	5403	0	0	0	0	6	2	0	0	0	8
R249	0	0	0	0	0	0	0	53	46	0	2	8	0	0	2	0	0	0	0	0	0	0	0	9	0	0	31	0	0	0	0	255	0	0	1	12	0	0	413	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	14	0	0	0	0	0	131	0	0	75	0	1	0	0	0	38874	0	1583	0	4	0	0	0	0	1	0	0	0	2	2677	0	13	0	0	0	0	0	0	0	5476	58	0	0	0	0	0	7	2	0	0	0	0	1	0	9359	0	2	0	6924	0	0	0	2	2	0	0	0	0	0	8336	0	0	0	2	0	0	0	52	0	293	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	713	0	0	0	3	0	0	0	0	0	0	0	0	50147	0	3	1	0	3650	0	0	0	0	0	544	2	0	2988	0	0	0	45	0	0	0	0	0	6631	108	0	0	0	257	0	0	8	0	0	0	0	0	0	1	0	0	0	0	7487	0	0	0	0	26	170	0	0	170	0	0	0	0	0	400	0	0	1	0	0	0	0	130	2	58	0	0	0	9678	0	0	4	0	3	3	0	0	0	0
I42	22	0	0	0	0	0	0	1044	1187	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	808	0	2	0	0	4	0	0	13	10	0	0	2	0	0	0	0	0	396	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	196	0	0	0	0	0	0	0	0	2	0	0	82082	0	608	10	0	0	11928	0	223	0	128	23	0	0	0	0	0	2	18	0	74	0	5	0	1	0	0	0	2	0	393	22	0	0	0	0	0	3708	0	0	0	13	0	12	0	20309	0	4	0	2184	0	0	0	0	9	0	0	6	0	0	78	0	0	0	1	0	0	0	0	0	26	2398	245	0	0	1	503	0	2	0	0	0	2	0	0	2	4	0	0	151	0	0	0	0	0	0	38	0	0	4	6	0	0	0	0	0	0	0	0	1108	0	0	2	5	5490	0	0	0	14	8	2	0	0	9540	0	0	0	6	0	0	0	0	2	1365	5	0	0	0	232	0	0	0	14	0	0	1123	0	0	0	0	0	0	2	591	0	0	0	0	4	265	1	0	38	0	2	0	0	0	13	0	0	0	0	4	0	0	72	1858	2	0	0	0	5669	0	3213	0	0	0	1341	0	0	0	0
R242	0	0	0	0	0	0	0	140	1620	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	736	0	1	0	0	386	1	2	0	8	0	0	4	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	1	0	0	0	14929	0	707	0	4155	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	513	855	0	0	0	0	0	9499	0	0	0	0	0	12	0	22978	289	0	4	2638	0	0	0	0	258	0	0	19	0	0	493	0	0	0	1	0	0	0	659	0	72	152	40	0	0	1	1154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380	0	0	0	46	0	0	0	0	0	0	0	0	47623	0	4	3	3	1693	0	0	0	8	0	0	0	0	15745	0	0	0	7	256	0	0	0	0	2613	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2895	0	0	0	0	20	140	0	0	0	0	0	0	0	0	100	0	12	0	0	2	0	0	4228	1685	26	0	0	0	5983	0	0	0	1	0	3	0	0	0	0
I48	72	0	0	0	0	0	0	121	177	0	2	0	0	0	0	16	0	0	0	0	0	1	3	0	0	1	11478	0	2	0	0	0	0	0	41	6866	0	0	20	2	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	10	0	0	50	0	0	1	0	0	952	0	0	79412	1	0	15	0	8	4645	0	5	0	561	0	0	0	0	27	0	0	0	0	827	2522	0	0	0	0	0	2	4	0	2533	0	0	0	0	0	0	63	0	0	0	0	0	0	0	4309	0	0	0	1249	0	2	0	11	4	0	0	11	0	0	122	0	0	0	0	0	0	0	0	26	52	2257	187	0	0	0	1186	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	2	69	0	5486	1	0	459	0	0	0	4	1765	0	0	0	4928	0	0	0	4	0	1	0	0	0	257	1728	0	0	0	49	0	0	2	0	0	0	125	1	0	0	0	0	0	0	62	0	2	12	0	2	60	0	0	400	0	0	0	0	0	5	0	0	0	0	0	0	0	2	1110	0	0	0	0	5239	0	2395	0	0	6856	8040	0	0	0	0
I15	108	2	0	0	0	0	0	72	1341	0	6	0	0	0	2	27	0	0	0	0	0	0	0	0	0	0	10861	0	0	0	0	0	0	0	300	10011	0	0	2	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	49366	0	7	23	0	0	6112	0	246	0	140	0	0	14	0	4	0	0	7	0	843	0	4	0	0	0	0	0	2	0	120	1	0	0	0	0	0	1418	2	0	0	0	0	7	0	13715	0	2	0	6057	0	0	0	0	4	0	0	5	0	0	14	0	0	0	0	0	0	0	0	0	13	2041	291	0	0	1	785	0	7	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	3	121	0	8346	22	7	3031	0	0	0	2	75	4	0	0	8695	0	0	0	0	0	0	0	0	0	372	474	0	0	0	213	0	0	2	0	0	0	947	0	0	0	0	0	0	0	658	3	0	0	0	4	35	0	0	50	0	0	0	0	0	4	0	0	0	0	3	0	4	17	1627	0	0	0	0	1697	0	4139	0	0	77	3990	0	0	0	0
I30	0	2	0	0	0	0	0	51	858	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	4738	0	5	0	0	6	0	0	95	7142	0	0	16	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	18	1	0	0	0	0	0	0	0	0	0	0	90688	1	461	4	0	0	5359	0	54	0	183	10	0	0	0	0	0	1	3	0	331	0	0	0	0	0	0	0	23	0	74	20	0	0	0	0	0	1422	0	0	0	0	0	3	0	8092	0	0	0	2542	0	0	0	0	89	0	0	2	0	0	22	0	0	0	0	0	0	0	4	0	22	1290	173	0	0	0	655	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	11	84	0	4	0	1	3184	0	0	0	0	0	0	0	0	4593	0	0	0	0	4	2	0	0	0	260	405	0	0	0	79	0	0	0	28	0	0	214	2	0	0	0	0	1	0	147	0	0	0	0	1	190	0	0	11	0	0	0	0	0	77	0	0	4	0	0	0	0	43	1419	0	0	0	0	2693	0	0	0	0	3	4051	0	0	0	0
R224	109	0	0	0	0	0	0	26	414	0	0	0	2	0	2	4	0	0	0	0	0	0	0	0	0	0	1231	0	6	0	0	124	0	0	16	7077	0	0	7	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	900	0	0	6	0	0	0	0	0	2	0	0	16044	0	3	0	0	0	11886	0	2910	0	44	0	0	0	0	0	0	0	0	0	3819	1	0	0	0	0	0	0	0	0	341	44	0	0	0	0	0	8	0	0	0	27	0	20	0	13355	55	1	2	6796	0	0	0	0	4	197	0	0	0	0	6	0	0	0	1	0	0	0	241	0	69	962	20	0	0	0	1797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	20759	0	2303	2	0	2113	0	0	0	0	12	2	0	0	2130	0	0	0	8	12	7	0	0	2	2308	1	0	0	0	476	0	0	0	85	0	0	741	0	0	0	0	0	0	0	3792	4	0	0	0	68	78	0	0	24	0	0	0	0	0	96	0	0	1697	0	0	0	0	351	64	1	0	0	0	3260	0	0	0	0	20628	0	0	0	0	0
R250	20	103	0	0	0	0	0	1377	330	0	0	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	502	0	0	0	12	0	0	63	4	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1104	0	6	16	0	0	0	0	0	6083	0	0	123	1	0	1	4	0	35877	0	7579	0	4	0	0	0	0	0	2	0	14	0	0	0	12	0	0	0	0	0	1	0	125	846	0	0	0	0	0	139	0	0	0	0	0	353	0	14	32	455	0	1213	0	0	0	0	0	0	0	1	0	0	0	2	0	0	15	0	0	0	1750	0	135	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	3	0	0	0	0	6	0	0	0	1340	0	2	0	72	0	0	11	0	0	0	0	0	51879	0	0	7	9	4	11	0	0	2	0	112	0	0	9774	0	0	0	8	84	0	0	0	0	1676	147	0	0	0	999	0	0	34	10	0	14	1	0	0	0	0	0	0	0	6	0	0	0	0	147	0	0	0	0	0	0	48	0	0	2710	0	0	0	0	30	0	2	5386	150	0	0	0	0	15833	0	0	0	0	2	0	0	0	0	0
R232	0	0	0	4	0	0	0	16	3129	0	22	48	6	0	6	0	0	0	0	0	0	0	0	0	0	0	1788	0	0	0	0	0	0	0	71	2	0	29	318	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	0	1672	0	6	0	0	0	0	0	0	0	170	0	0	63	1	0	0	4	0	7343	0	1596	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	8	0	0	1434	0	0	0	0	0	0	1427	0	0	1	185	0	11	0	10243	189	0	3	25365	0	0	3	0	223	0	0	10	0	0	3964	0	0	0	13	0	1	0	0	0	55	1	2097	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	22	0	0	186	0	0	0	144	0	0	0	0	0	0	0	0	26197	0	2	35	32	394	0	0	0	0	0	0	0	0	1561	2	6	0	4	1	0	0	0	0	5892	19	0	0	0	1298	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1060	2	0	0	0	267	14	0	0	0	0	0	0	0	0	427	0	0	0	0	1	0	0	1522	0	12	0	0	0	7346	0	0	0	0	1	3	0	0	0	0
R239	25	0	0	0	0	0	0	29	609	0	4	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	137	0	0	0	18884	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1423	2	0	0	0	0	0	0	0	2235	0	0	60	0	0	0	0	0	20182	0	2654	0	2	0	0	0	0	0	0	0	0	0	3062	0	10	0	0	0	0	0	0	0	6699	103	0	0	0	0	0	11	0	0	0	156	0	6	0	20055	108	0	0	5779	0	0	0	0	1940	0	0	10	0	0	17	0	4	2	3	0	0	0	322	0	160	0	3549	0	0	0	1838	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	47380	0	0	1	0	15	0	0	0	2	0	32	0	0	6292	2	0	0	0	0	0	0	0	2	261	4	0	0	0	353	0	0	0	0	0	0	0	6	0	0	0	0	0	0	20	3	0	0	0	111	497	0	0	5	0	6	0	0	0	152	0	0	0	0	0	0	0	167	2170	123	0	0	0	2319	0	0	0	0	0	0	0	0	0	0
I26	94	0	0	0	0	0	0	12	662	0	26	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	5790	0	5	0	4	10	0	0	370	10470	0	0	121	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	40	0	0	109	0	0	0	1	0	0	0	0	93290	0	206	8	0	0	4576	0	95	0	116	12	0	2	0	0	0	2	17	0	315	0	0	0	0	0	0	2	40	0	1084	4	0	0	0	0	0	1880	0	0	0	4	0	3	0	9598	0	0	0	2595	0	0	0	1	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2403	262	0	0	0	536	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	13	206	0	1801	5	6	3732	0	0	0	0	191	0	0	0	10333	0	0	0	0	0	1	0	0	0	80	1048	0	0	0	113	0	0	0	0	0	0	275	1	0	0	0	0	0	0	190	2	0	0	0	8	124	0	0	21	0	0	0	0	0	23	0	0	0	0	2	0	0	29	876	0	0	0	0	1877	0	1991	0	1	4	3	0	0	0	0
R256	1	0	0	0	0	0	0	2	1	0	0	28	19	0	0	0	0	0	0	0	0	0	12	0	0	0	1479	0	0	0	0	742	0	1	0	15	0	0	32	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2800	3	8	6	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	24769	0	9847	0	2616	16	0	0	0	0	0	0	0	0	5039	0	11	0	0	0	0	0	1	0	238	524	0	0	0	0	0	3	0	0	0	0	0	3	0	4695	0	0	0	2952	0	2	1	0	273	0	0	0	0	0	8082	10	8	0	8	0	0	0	0	0	72	1	2308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	2	0	1	0	0	0	0	0	28589	0	1	1	0	4957	0	0	0	6	1	1715	0	2	814	0	0	0	14	2	0	0	0	3	1023	58	0	0	2	1984	0	2	6	0	0	0	123	1	0	0	0	0	4	0	16	0	0	0	0	8	4	0	0	0	0	0	0	0	0	2151	0	0	1	0	0	0	0	7343	4	97	0	0	0	12705	0	2	0	0	6	6	0	0	0	0
R243	1	2	0	0	0	0	0	428	1461	0	34	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	116	0	0	0	0	316	0	2	0	1	0	0	1	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1959	2	0	0	0	0	0	0	0	1881	0	0	3934	0	14	0	0	0	19418	0	2597	0	10	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	176	495	0	0	0	0	0	14734	0	0	0	0	0	43	0	19805	5	2	4	916	0	0	0	0	312	80	0	1	0	0	2	0	0	0	4	0	0	0	0	0	46	17	992	0	0	3	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1642	0	0	0	48	0	1	0	0	0	0	0	0	24470	0	9	17	11	2352	0	0	0	2	0	8	0	0	11309	4	0	0	4	101	0	0	0	0	2215	18	0	0	0	419	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1464	30	0	0	0	39	109	0	0	1	0	0	0	0	0	27	0	0	0	0	1	0	0	3449	1666	24	0	0	0	7179	0	3	0	0	0	3	0	0	0	0
R255	2	2	0	0	0	0	0	5	0	0	0	25	8	0	0	5	0	0	0	0	0	0	10	0	0	0	1465	0	0	0	0	621	0	4	2	27	0	0	29	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2865	0	5	4	5	0	0	0	0	0	31	0	4	126	0	1	0	0	0	25350	0	10158	0	2213	9	0	0	0	0	0	0	0	0	4936	0	0	0	0	0	0	2	1	0	599	499	0	0	0	0	0	2	2	0	0	0	0	3	0	6090	1	2	0	3178	0	7	0	0	291	0	0	0	0	0	8280	17	2	0	6	0	0	0	0	0	99	0	2293	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	30450	0	0	1	0	4895	0	0	0	6	4	1631	0	0	1208	0	0	0	28	0	0	0	0	1	1362	80	0	0	0	1942	0	0	5	0	2	0	147	0	0	0	0	0	0	0	10	30	0	0	0	9	12	0	0	10	0	0	0	0	0	1987	0	0	0	0	0	0	0	6701	15	114	0	0	0	12044	0	1	0	0	1554	2	0	0	0	0
I16	102	0	0	0	0	0	0	14	356	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1953	0	0	0	0	2	0	0	0	8129	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	46	0	0	0	0	0	0	0	0	62536	0	7	2	0	0	3306	0	65	0	61	1	0	0	0	0	0	0	22	0	3	0	0	0	0	0	0	0	1	0	6072	6	0	0	0	0	0	407	2	0	0	0	0	1	0	6660	0	0	0	3040	0	0	0	0	45	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	20	1413	187	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	16	0	0	0	0	0	0	0	0	130	0	0	9	6	5396	0	0	0	2	0	0	0	0	3077	0	0	0	0	37	0	0	0	0	207	67	0	0	0	64	0	0	0	0	0	0	491	0	0	0	0	0	0	0	261	0	0	0	0	0	84	0	0	25	0	0	0	0	0	1	0	0	0	0	0	0	0	25	464	0	0	0	0	580	0	0	0	0	3333	2727	0	0	0	0
I08	65	4	0	0	0	0	0	184	2254	0	16	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2036	0	0	0	0	18	0	0	262	9949	0	0	19	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	32	1	0	116	0	0	0	0	0	0	0	0	89454	0	14	19	0	0	3463	0	52	116	4288	18	0	0	0	0	0	0	4	0	187	0	0	0	0	0	0	5	102	0	653	6	0	0	0	0	1	2123	0	0	0	38	0	13	0	10676	0	0	0	3480	0	0	0	0	26	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	8	843	264	0	0	1	555	0	15	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	5	136	0	15206	5	6	6908	0	0	0	26	99	2	0	0	5906	0	0	0	2	0	0	0	0	0	220	24	0	0	0	73	0	0	0	103	0	0	779	1	0	0	0	0	0	0	219	0	0	0	0	6	64	0	0	32	0	0	26	0	0	12	0	0	0	0	18	0	0	46	532	1	0	0	0	1448	0	42	0	1	4	2801	0	0	0	0
R258	21	0	0	0	0	0	0	2	983	0	2	71	0	0	0	0	0	0	0	0	0	0	0	1	0	0	86	0	0	0	0	241	0	0	0	7	0	0	11	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1095	0	0	68	0	0	29	0	0	23753	0	1044	0	4	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1109	683	0	0	0	0	0	10808	0	0	0	246	0	16	0	15925	107	0	0	297	0	2	0	0	1	0	0	20	0	0	18	0	0	0	2	0	0	0	2	0	225	185	258	0	0	0	760	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2180	0	0	0	6	0	0	0	0	0	0	0	0	52424	0	4	11	0	10	0	0	0	6	1	76	0	0	17188	6	0	0	14	8	0	0	0	0	5174	8	0	0	0	662	1	0	4	1	0	0	1	1	0	0	0	0	0	0	986	2	0	0	0	60	180	0	0	3	0	0	2	0	0	245	0	0	1174	0	0	0	0	532	2345	0	0	0	0	3547	0	0	0	0	5475	3	0	0	0	0
I25	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	605	0	0	0	0	0	0	0	0	0	0	78317	0	0	0	0	4	0	0	0	14	0	0	944	46	0	0	0	0	27	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	8	0	0	118	0	2	0	0	0	2780	0	1	0	3	0	0	0	0	3	0	1	0	0	4426	0	10	0	0	0	2	0	192	0	37569	0	0	0	0	0	0	2	18	0	0	0	0	0	0	27	0	14	0	15704	0	0	0	0	0	0	0	0	0	0	18209	0	0	0	0	0	0	0	0	3	251	0	0	0	0	0	2	0	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	22	0	0	0	1731	0	0	0	0	7	0	0	0	18	0	12	0	0	27	0	0	0	22	0	0	0	0	0	2	452	0	0	0	0	0	4	0	0	0	0	4	0	0	0	1	0	0	0	8	0	0	0	1	0	1	0	0	564	0	4	0	1	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	49	0	0	0	31	4	7	0	0	0	0
I39	77	0	0	0	0	0	0	54	524	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8777	2	0	0	0	28	0	0	20	7	0	0	28	5	0	0	0	0	6	0	0	0	0	7	121	0	0	42	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	2	0	0	77922	0	4	68	0	0	11672	0	168	0	158	0	0	46	0	0	0	0	6	0	542	0	4	0	0	0	0	0	1	0	1869	24	0	0	0	0	0	506	0	0	0	14	2	3	0	16737	0	0	0	2130	0	0	0	0	34	0	0	6	0	0	256	0	0	0	0	0	0	0	0	7	46	2905	470	0	0	0	311	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	6	0	0	0	0	4	0	0	18	1189	0	5346	2	0	3301	0	0	0	6	236	12	0	0	7730	0	0	0	4	0	1	0	0	0	5763	40	0	0	0	145	0	0	0	0	0	0	1235	0	0	0	1	0	0	0	339	0	0	0	4	6	104	0	0	888	0	0	0	0	0	2	1	0	0	0	1	0	0	284	1468	0	0	0	0	1161	0	0	0	7	37	5281	0	0	0	0
