	Microdochium	Leptosphaeria	Armillaria	Itersonilia	Filobasidium	Cystofilobasidium	Udeniomyces	Phaeosphaeria	Acremonium	Rhodosporidium	Steccherinum	Ascochyta	Ceriporiopsis	Hyphodontia	Sporobolomyces	Alternaria	Diaporthe	Yarrowia	Davidiella	Pringsheimia	Strobilurus	Guehomyces	Entyloma	Malassezia	Mollisia	Kluyveromyces	Mastigobasidium	Agaricus	Eutypella	Peniophora	Bjerkandera	Kabatiella	Trichosporon	Aureobasidium	Cryptococcus	Bensingtonia	Neodeightonia	Leucosporidiella	Neurospora	Cladosporium	Tilletiopsis	Dioszegia	Aspergillus	Irpex	Trametes	Xylodon	Sistotrema	Penicillium	Gibberella	Chalastospora	Botrytis	Debaryomyces	Meyerozyma	Fusarium	Phoma	Wallemia	Candida	Ceratobasidium	Exophiala	Sarocladium	Monographella	Bulleromyces	Ustilago	Fomes	Saccharomyces	Bullera
s25_CD_flare_NonInflammed	0.0163564579808	0	0.0	0.0	0.00253807106599	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0287648054146	0	0.0	0.0	0.000282007896221	0	0.0	0.0	0.0	0.00282007896221	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.006486181613081	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0301748448957	0.0	0	0.0	0	0.789340101523	0	0.0	0.0	0.000564015792442	0.0	0.0	0.0	0.0	0.0
s26_CD_flare_NonInflammed	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0841673502871	0	0.0	0.0	0.00328137817884	0	0.0	0.0	0.0	0.101558654634767	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0311730926989	0	0	0	0.0	0.0	0.093683347005725	0.0	0.0	0.0	0.241345365053	0.0	0	0.0	0	0.220016406891	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s27_CD_flare_NonInflammed	0.001414427157	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.036303630363	0	0.0	0.0	0.0021216407355	0	0.0	0.0	0.0	0.2428099952855	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0.113861386139	0	0.003300330033	0	0	0.0	0.0	0.0285242809995	0.0	0.0	0.0	0.0002357378595	0.0	0.044790193305001	0.0	0.10231023102311	0	0.109618104667601	0.0	0.0	0.000471475719	0.0	0.0	0.0	0.0115511551155	0.0
s28_CD_flare_NonInflammed	0.0	0	0.0	0.0	0.00226039783002	0	0.000150693188668	0.0	0.0	0.0	0	0	0.0	0	0.000150693188668	0	0.0	0.0	0.000753465943339	0	0.0	0.0	0.0	0.135171790234739	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0.000602772754671	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.239752863171	0.0	0.00331525015069	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0259192284509	0.0
s29_CD_flare_NonInflammed	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.238205560236	0	0.0	0.0	0.00315922493682	0	0.0	0.0	0.0	0.304759898904388	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0.0176916596462	0	0	0	0	0.0	0.0709772535805	0	0.0	0.0	0.0	0.143218197136	0.0	0	0.0	0	0.00442291491154	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0374894692502	0.0
s30_CD_flare_NonInflammed	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0327926657264	0	0.0	0.0	0.000352609308886	0	0.0	0.0	0.0634696755994	0.00423131170663	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.00934414668548	0.0	0.0	0.0	0.0555359661495	0.0	0	0.0	0	0.755112834979	0	0.0	0.0	0.0	0.000176304654443	0.0	0.0	0.00793370944993	0.000176304654443
s31_CD_flare_NonInflammed	0.0	0	0.0	0.0	0.00434253951711	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.000173701580684	0	0.0	0.0	0	0	0.0	0.0	0.0	0.223032829598422	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0.00104220948411	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.230501997568	0.0	0	0.0	0	0.000173701580684	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0300503734584	0.0
s32_CD_remission	0.0	0	0.0	0.0	0.00153977758768	0	0.0	0.0	0.00633019674936	0.0	0	0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.485885372113	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s33_CD_remission	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.000155811779371	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.156279214709	0.0	0	0.0	0	0.818323465253741	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s34_CD_remission	0.00546448087432	0	0.0	0.0	0.000496770988574	0	0.0	0.0	0.000993541977149	0.0	0	0	0.0	0	0.157476403378	0.000496770988574	0.0	0.0	0.000496770988574	0	0.0	0.0	0.0	0.1395926477893	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.000993541977149	0	0	0	0.0	0.0	0	0.0	0.00645802285147	0.0	0.107302533532	0.0	0	0.0	0	0	0	0.0	0.0	0.000496770988574	0.0	0.0	0.0	0.343268753105	0.0
s35_CD_remission	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.000264235698243	0	0.0	0.0	0.00251023913331	0	0.0	0.0	0.000132117849121	0.194609591755485	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.01043731008059	0	0.0	0.0	0	0.0	0.0	0.0	0.154181529925	0.0	0	0.0	0	0.086669309023621	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018496498877	0.0
