	Tilletiopsis	Skeletocutis	Ustilaginoidea	Nakaseomyces	Robbauera	Cystobasidium	Corynespora	Starmerella	Fusicolla	Periconia	Millerozyma	Elsinoe	Issatchenkia	Cyberlindnera	Dekkera	Ceriporia	Eichleriella	Exserohilum	Septoria	Kluyveromyces	Saprochaete	Cystofilobasidium	Rhizopus	Metschnikowia	Candida	Debaryomyces	Rhodotorula	Exophiala	Neodevriesia	Peniophora	Wickerhamomyces	Coprinellus	Flavodon	Entyloma	Nakazawaea	Sterigmatomyces	Malassezia	Tulasnella	Torulaspora	Naganishia	Coleophoma	Cochliobolus	Sphaerodes	Sarocladium	Aureobasidium	Bullera	Nigrospora	Colletotrichum	Phaeosphaeria	Zygosaccharomyces	Fusarium	Mycosphaerella	Curvularia	Schizophyllum	Protomyces	Wickerhamiella	Penicillium	Barnettozyma	Vishniacozyma	Recurvomyces	Wallemia	Phomatospora	Toxicocladosporium	Hanseniaspora	Helvella	Trichosporon	Violaceomyces	Kazachstania	Meyerozyma	Trichothecium	Tilletia	Symmetrospora	Ascotricha	Venturia	Betamyces	Bipolaris	Blumeria	Neurospora	Saccharomyces	Dissoconium	Kockovaella	Gibberella	Alternaria	Sporobolomyces	Bezerromyces	Xenoacremonium	Stachybotrys	Aspergillus	Pichia	Talaromyces	Lasiodiplodia	Sympodiomycopsis	Cladosporium	Catenaria	Lachancea	Parengyodontium	Phanerochaete	Sporidiobolus	Cryptococcus	Syspastospora	Xeromyces
sample-29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	15.0	0	0.0	0	0.0	5.0	0.0	0.0	0.0	0	0.0	0.0	69	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	3	0.0	7	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	11427.0	0.0	4.0	0.0	0.0	0.0	0	0.0	0.0	25.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0
sample-2	5.0	0.0	0.0	0.0	0.0	25.0	0.0	0	16.0	0.0	0.0	0.0	102.0	0	0.0	0	0.0	5.0	0.0	0.0	0.0	0	0.0	0.0	456	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	6.0	0	10	24.0	0	0.0	0.0	0.0	0	0.0	27	0.0	6.0	15.0	0.0	0.0	0.0	5	0.0	0	0.0	3.0	0.0	0.0	0.0	0.0	7.0	0	15505.0	0.0	15.0	10.0	0.0	7.0	336	0.0	0.0	134.0	12.0	636	0.0	0	272.0	0.0	9	6.0	0.0	102.0	52.0	0.0	0.0	0.0	0.0
sample-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	14	0.0	0	0.0	0.0	0.0	3.0	0.0	0	0.0	0.0	253	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	4.0	0.0	0.0	0	22	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	12127.0	0.0	10.0	0.0	14.0	0.0	79	0.0	0.0	42.0	0.0	94	0.0	0	0.0	0.0	0	0.0	0.0	17.0	41.0	0.0	0.0	0.0	0.0
sample-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	12	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	19.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	2393.0	0.0	10.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	33	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	78	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	98.0	0.0	0.0	0	0.0	17	0.0	0.0	13.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	13340.0	203.0	19.0	0.0	0.0	0.0	9	0.0	0.0	0.0	0.0	54	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-33	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0	4.0	7.0	0.0	0.0	123.0	77	0.0	0	0.0	0.0	0.0	0.0	0.0	0	5.0	0.0	1709	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	8	0.0	0	0.0	0.0	0.0	10	13.0	0	0.0	6.0	0.0	96.0	37.0	27.0	9	0.0	6714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	16043.0	0.0	102.0	0.0	0.0	0.0	6	0.0	9.0	103.0	0.0	712	0.0	0	0.0	0.0	0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0
sample-34	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	40.0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	33272.0	0.0	16.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	307	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sample-35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	6.0	0.0	0.0	0.0	0	0.0	0.0	1409	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	3	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	4455.0	0.0	15.0	0.0	0.0	0.0	0	0.0	0.0	4.0	5.0	31	0.0	0	0.0	0.0	0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
sample-36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	93.0	0	0.0	0	0.0	6.0	0.0	2.0	0.0	0	0.0	0.0	95	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	7	0.0	12	0.0	6.0	0.0	58	0.0	0	0.0	5.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	17688.0	0.0	5.0	0.0	0.0	0.0	9	0.0	0.0	17.0	0.0	180	0.0	0	0.0	0.0	0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
sample-37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	2550	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	22.0	0	0.0	25.0	0.0	0.0	0.0	0.0	0	0.0	12	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0	20015.0	0.0	104.0	0.0	0.0	0.0	62	0.0	0.0	9.0	0.0	171	0.0	0	0.0	0.0	0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
