	Spirosoma	Treponema	Kytococcus	Nakamurella	Finegoldia	Sporobacter	Robinsoniella	Schlegelella	Lachnoanaerobaculum	Piscicoccus	Haloanella	Pinus	Agitococcus	Cucumis	Aeromicrobium	Atopostipes	Dysgonomonas	Agrobacterium	Eubacterium	Anaeromyxobacter	Gordonia	Anaerobiospirillum	Dietzia	Coprococcus	Aureimonas	Thermoactinomyces	Insolitispirillum	Aurantimonas	Cyanophora	Rikenella	Coprobacillus	Variovorax	Flavisolibacter	Comamonas	Larkinella	Cloacibacterium	Schwartzia	Microlunatus	Acholeplasma	Mycobacterium	Brachybacterium	Clavibacter	Bythopirellula	Erysipelothrix	Brooklawnia	Galbibacter	Terrahaemophilus	Methanosphaera	Cloacibacillus	Butyricimonas	Rubricoccus	Paracoccus	Pseudochrobactrum	Capnocytophaga	Okadaella	Georgenia	Planobacterium	Tepidimonas	Oxalobacter	Hyphomicrobium	Serratia	Faecalibacterium	Aquincola	Propionicicella	Coriobacterium	Acidovorax	Phascolarctobacterium	Micrococcus	Bergeyella	Geodermatophilus	Adlercreutzia	Sphaerochaeta	Nitriliruptor	Herbaspirillum	Brassicibacter	Nubsella	Vogesella	Rhodobacter	Alkalibaculum	Sphaerobacter	Abiotrophia	Truepera	Shuttleworthia	Rubrivivax	Aequorivita	Alkalitalea	Chryseobacterium	Massilia	Ethanoligenens	Bacteroides	Sorangium	Chitinophaga	Fusobacterium	Campylobacter	Propioniferax	Lachnobacterium	Varibaculum	Pedomicrobium	Ochrobactrum	Alloscardovia	Anaeroplasma	Acetivibrio	Ilumatobacter	Brevundimonas	Oscillibacter	Exiguobacterium	Trichococcus	Altererythrobacter	Tersicoccus	Trifolium	Rothia	Atopobium	Chloroflexus	Eikenella	Anaerovorax	Kineosphaera	Ruminococcus	Mycoplasma	Kineococcus	Syntrophococcus	Paenibacillus	Kocuria	Sphingomonas	Collinsella	Pseudoclavibacter	Achromobacter	Parabacteroides	Haemophilus	Porphyromonas	Vibrio	Lactonifactor	Anaeroglobus	Burkholderia	Mobilicoccus	Peptoclostridium	Curtobacterium	Bifidobacterium	Gordonibacter	Photorhabdus	Marinicella	Pseudolabrys	Bacillus	Bulleidia	Butyrivibrio	Dehalobacterium	Catenibacterium	Barnesiella	Dermabacter	Rubrivirga	Fluviicola	Pisum	Prevotella	Kerstersia	Salinicoccus	Sneathia	Pseudorhodoferax	Lutispora	Neisseria	Thauera	Bifissio	Oribacterium	Succiniclasticum	Eggerthia	Anaerostipes	Hafnia	Microvirga	Enterorhabdus	Sutterella	Rhodoplanes	Delftia	Pseudonocardia	Algoriphagus	Rubrobacter	Sphingobium	Peptococcus	Bordetella	Anabaena	Microcella	Fulvimonas	Perlucidibaca	Acetobacter	Gemmatimonas	Asteroleplasma	Fusicatenibacter	Macrococcus	Kofleria	Janibacter	Phenylobacterium	Oscillospira	Bdellovibrio	Selenomonas	Clostridium	Cystobacter	Arcanobacterium	Paraeggerthella	Desulfotomaculum	Lautropia	Gemella	Arcobacter	Alcaligenes	Kiloniella	Xanthomonas	Acinetobacter	Planctomyces	Proteus	Blastococcus	Aquabacterium	Rhodocytophaga	Saccharofermentans	Alistipes	Hydrogenoanaerobacterium	Hydrogenophaga	Humibacillus	Papillibacter	Blastocatella	Nitrolancea	Vagococcus	Ralstonia	Vallitalea	Stenotrophomonas	Ohtaekwangia	Aciditerrimonas	Turicibacter	Meiothermus	Portibacter	Anaerorhabdus	Tetrasphaera	Pelomonas	Jonquetella	Mogibacterium	Facklamia	Brevibacillus	Propioniciclava	Paludibacter	Phyllobacterium	Tolumonas	Dorea	Cedecea	Chryseomicrobium	Emticicia	Staphylococcus	Patulibacter	Sporichthya	Lactobacillus	Brevibacterium	Succinatimonas	Veillonella	Turicella	Legionella	Methylophilus	Chelatococcus	Zhihengliuella	Flavobacterium	Castellaniella	Luteimonas	Parvimonas	Elizabethkingia	Sphingopyxis	Lactococcus	Intestinimonas	Gracilimonas	Oxalicibacterium	Alishewanella	Curvibacter	Nocardioides	Arcticibacter	Sphingosinicella	Murdochiella	Psychrobacillus	Bilophila	Megamonas	Empedobacter	Cetobacterium	Citrobacter	Cesiribacter	Mobiluncus	Desulfosporosinus	Hymenobacter	Armatimonas	Butyricicoccus	Aeromonas	Limnobacter	Acetanaerobacterium	Bosea	Fimbriimonas	Anaerofilum	Cerasicoccus	Cellulosilyticum	Skermanella	Rahnella	Succinivibrio	Slackia	Thermomonas	Methylosinus	Sediminibacterium	Lelliottia	Frankia	Terrimonas	Klebsiella	Rhodococcus	Elusimicrobium	Streptococcus	Odoribacter	Enterobacter	Anaerococcus	Denitrobacterium	Aggregatibacter	Pyramidobacter	Escherichia/Shigella	Thermobacillus	Pseudoxanthomonas	Daucus	Fructobacillus	Rhizobium	Coprobacter	Raoultella	Leifsonia	Alterococcus	Solirubrobacter	Afipia	Humicoccus	Acetonema	Parvibacter	Pantoea	Frigoribacterium	Cronobacter	Wautersiella	Anaerovibrio	Victivallis	Catabacter	Niabella	Salinimicrobium	Conexibacter	Akkermansia	Herbiconiux	Amaricoccus	Dolosigranulum	Friedmanniella	Weissella	Pluralibacter	Filifactor	Epulopiscium	Ornithinimicrobium	Corynebacterium	Devosia	Shewanella	Bradyrhizobium	Chondromyces	Nevskia	Pseudobutyrivibrio	Enterococcus	Methyloversatilis	Allisonella	Olsenella	Allobaculum	Mitsuokella	Sphaerotilus	Ottowia	Sneathiella	Rubellimicrobium	Leptotrichia	Mucilaginibacter	Ornithinicoccus	Pectobacterium	Dehalobacter	Craurococcus	Peptostreptococcus	Labrys	Propionibacterium	Arthrobacter	Sarcina	Haematobacter	Prolixibacter	Vampirovibrio	Duganella	Nocardiopsis	Cardiobacterium	Paracraurococcus	Azohydromonas	Methanobrevibacter	Nafulsella	Pedobacter	Olavius	Citricoccus	Parapusillimonas	Sodalis	Kluyvera	Nesterenkonia	Pleomorphomonas	Howardella	Thermincola	Gracilibacter	Lachnospira	Holdemania	Dioscorea	Synergistes	Cryptobacterium	Actinomyces	Sphingobacterium	Microbacterium	Acidaminobacter	Marmoricola	Adhaeribacter	Stomatobaculum	Coraliomargarita	Leuconostoc	Dialister	Pseudorhodobacter	Azospirillum	Yaniella	Azoarcus	Scardovia	Tessaracoccus	Porphyrobacter	Pontibacter	Pseudokineococcus	Jeotgalicoccus	Paraprevotella	Spiroplasma	Syntrophomonas	Cellulosimicrobium	Rhodopirellula	Moraxella	Streptomyces	Anaerotruncus	Tepidicella	Saccharophagus	Granulicatella	Gemmiger	Plesiomonas	Subdoligranulum	Alloprevotella	Agrococcus	Janthinobacterium	Solobacterium	Mariniluteococcus	Aerococcus	Dermacoccus	Oxobacter	Salmonella	Erwinia	Deinococcus	Luteococcus	Chthoniobacter	Zavarzinella	Roseomonas	Hydrotalea	Anoxybacillus	Leclercia	Morganella	Dyella	Belnapia	Pseudoramibacter	Tannerella	Cellulomonas	Rheinheimera	Actinobaculum	Gaiella	Alkanindiges	Methylobacterium	Roseburia	Desulfitobacterium	Peptoniphilus	Flavonifractor	Megasphaera	Psychrobacter	Parasutterella	Marinilactibacillus	Anaerofustis	Arenimonas	Balneola	Hespellia	Halomonas	Serinicoccus	Christensenella	Undibacterium	Pediococcus	Ectothiorhodosinus	Rhodopseudomonas	Actinomycetospora	Erythrobacter	Methylocystis	Pseudomonas	Caulobacter	Micropruina	Blautia	Micromonospora	Novosphingobium	Brachyspira	Moryella	Acidaminococcus	Eggerthella	Desulfovibrio	Pseudoflavonifractor	Lysobacter
MBD312	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	9813	0	0	0	0	259	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2641	0	0	0	0	1	27	0	0	32	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	3011	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	228	0	0	1	15	0	4	5699	0	173	10	20	0	0	0	0	2	0	0	0	40	1	0	5	0	84	0	0	0	4	2	0	10	0	0	55	0	0	0	0	0	1	0	0	0	0	0	347	0	0	51	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	24	0	1	0	2	368	0	0	9	0	0	2	0	0	0	0	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	602	0	0	0	0	0	0	2078	0	0	0	0	0	0	4473	0	0	59	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	10	0	0	186	0	0	0	3	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	107	0	39	0	0	0	0	11	0	0	0	29	23	0	0	17	0	0	0	0	0	8	144	0	21	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	10	0	0	0	0	0	0	0	0	132	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	549	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	373	0	2	11	3231	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	776	0	0	2174	0	0	0	0	49	1	3	0	0
MBD393	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1182	0	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2343	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1427	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	2944	0	0	0	0	0	0	54	0	41	24	2	0	0	0	0	26	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	16	6	0	0	0	0	0	0	0	0	0	0	137	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	126	0	0	0	0	17	0	0	1020	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	2141	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	270	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	16	0	0	0	1	4	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2599	0	0	121	4084	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1114	0	0	0	0	0	51	0	0	0
MBD083	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2264	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1818	0	0	5	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	1588	0	0	0	0	0	0	231	0	0	95	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	1	0	0	0	0	0	74	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	1	503	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	139	0	0	0	0	0	0	51	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1103	0	0	30	11	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	31	0	0	0
MBD052	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	4499	0	0	0	0	601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	8	0	0	3321	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1252	0	0	0	0	0	0	0	0	0	22	0	895	0	0	0	0	0	0	597	0	12	547	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	342	0	719	13	0	0	0	0	13518	0	0	0	0	1	14	0	0	0	0	0	80	0	0	9	31	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	77	0	0	0	0	133	0	0	1588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	57	0	0	0	0	3	0	531	0	0	0	0	0	0	358	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	6	0	0	27	0	0	0	0	0	0	0	859	16	0	0	0	0	0	0	15	0	24	254	33	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	151	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	64	0	281	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	68	6	0	0	0	10	0	0	0	0	0	0	0	0	752	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	25	0	0	0	255	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1505	0	0	92	367	0	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	16	0	0	1047	0	0	0	0	0	0	67	0	0
MBD361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2029	0	100	0	0	0	0	0	0	15	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	111	0	0	0	0	0	0	4	1233	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	0	0	0	0	0	0	1783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	13	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	1	4	2494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	1824	0	0	0	0	37	74	0	0	0
MBD034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2012	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1479	0	0	6	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1094	0	0	0	0	0	0	1066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	11	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	33	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	16	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2053	0	0	0	0	4	119	0	0	0
MBD104	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2159	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2296	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	538	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1821	1	0	0	0	0	16814	0	0	0	0	0	0	0	0	0	0	0	103	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	28	0	0	0	0	4	0	0	228	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	65	0	0	0	0	1	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0	648	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	1	0	15	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	25	0	571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	1	0	0	0	0	0	0	0	0	756	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	44	0	1	1582	0	0	49	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	4	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645	0	0	0	0	0	1	0	0	0
MBD273	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	8789	0	0	0	0	873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	3175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	312	0	0	0	0	0	0	0	0	0	0	0	1	0	0	657	0	0	0	0	0	0	0	0	0	11	0	2404	0	0	0	0	0	0	1925	0	204	2	23	0	0	5	0	45	0	0	0	2	0	0	0	5	0	0	0	0	1167	113	0	0	0	0	495	56	0	0	0	4	110	0	0	0	0	0	400	0	0	30	9	0	9	0	0	0	0	0	10	0	0	0	0	0	0	9	148	0	0	0	0	19	0	1	2157	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	2	0	0	0	0	0	0	0	0	820	0	0	0	0	0	0	0	0	0	0	0	0	0	1345	9	0	0	0	0	0	399	0	0	22	0	0	0	0	0	0	0	0	2	0	0	18	32	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	172	0	0	20	0	0	1	0	0	0	0	0	187	0	0	0	0	0	0	747	0	0	506	8	550	0	1	0	0	91	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	30	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	260	0	0	75	0	128	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	18	0	0	0	0	14	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0	0	37	100	0	0	0	0	0	6	0	0	0	695	0	3	290	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1193	0	0	103	1	0	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	247	0	0	3533	0	0	0	0	0	0	0	1	0
MBD184	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1259	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	3	0	29	0	0	0	0	0	0	32	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	0	561	0	0	0	0	0	5019	1	0	0	0	0	0	0	0	0	0	0	14	0	0	2	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	14	0	0	0	39	35	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	198	2	0	0	0	0	0	0	0	9	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	281	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	7	0	0	0	43	0	2	110	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	16	335	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	186	0	0	0	0	0	0	3	0	0
MBD050	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7826	0	0	0	0	1303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	3	0	0	6	0	153	0	0	0	0	3	0	1668	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1226	0	0	0	0	0	0	0	0	0	0	0	134	0	0	25	1	0	0	0	0	0	0	46	0	0	0	0	0	0	0	3	75	0	0	0	0	72	0	0	1184	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	854	0	0	0	0	0	0	431	0	0	37	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	8	0	59	5	0	0	0	0	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	142	0	432	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	33	3	3	0	0	14	0	0	0	0	0	0	0	0	556	0	0	0	0	0	0	0	0	0	0	61	8	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	76	12	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3219	0	0	0	0	0	0	1	0	0
